Name,External ID,Control ID,Statement ID,Control Question
5.1 Policies for information security,5.1,5.1,,"Information security policy and topic-specific policies should be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur."
5.2 Information security roles and responsibilities,5.2,5.2,,Information security roles and responsibilities should be defined and allocated according to the organization needs
5.3 Segregation of duties,5.3,5.3,,Conflicting duties and conflicting areas of responsibility should be segregated.
5.4 Management Responsibilities,5.4,5.4,,"Management should require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization."
5.5 Contact with Authorities,5.5,5.5,,The organization should establish and maintain contact with relevant authorities.
5.6 Contact with special interest groups,5.6,5.6,,The organization should establish and maintain contact with special interest groups or other specialist security forums and professional associations.
5.7 Threat intelligence,5.7,5.7,,Information relating to information security threats should be collected and analysed to produce threat intelligence.
5.8 Information security in project management,5.8,5.8,,Information security should be integrated into project management.
5.9 Inventory of information and other associated assets,5.9,5.9,,"An inventory of information and other associated assets, including owners, should be developed and maintained."
5.10 Acceptable use of information and other associated assets,5.10,5.10,,"Rules for the acceptable use and procedures for handling information and other associated assets should be identified, documented and implemented."
5.11 Return of Assets,5.11,5.11,,"Personnel and other interested parties as appropriate should return all the organization’s assets in their possession upon change or termination of their employment, contract or agreement."
5.12 Classification Of Information,5.12,5.12,,"Information should be classified according to the information security needs of the organization based on confidentiality, integrity, availability and relevant interested party requirements."
5.13 Labelling of Information,5.13,5.13,,An appropriate set of procedures for information labelling should be developed and implemented in accordance with the information classification scheme adopted by the organization.
5.14 Information Transfer,5.14,5.14,,"Information transfer rules, procedures, or agreements should be in place for all types of transfer facilities within the organization and between the organization and other parties."
5.15 Access Control,5.15,5.15,,Rules to control physical and logical access to information and other associated assets should be established and implemented based on business and information security requirements.
5.16 Identity Management,5.16,5.16,,The full life cycle of identities should be managed.
5.17 Authentication information,5.17,5.17,,"Allocation and management of authentication information should be controlled by a management process, including advising personnel on the appropriate handling of authentication information."
5.18 Access rights,5.18,5.18,,"Access rights to information and other associated assets should be provisioned, reviewed, modified and removed in accordance with the organization’s topic-specific policy on and rules for access control."
5.19 Information security in supplier relationships,5.19,5.19,,Processes and procedures should be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.
5.20 Addressing information security within supplier agreements,5.20,5.20,,Relevant information security requirements should be established and agreed with each supplier based on the type of supplier relationship.
5.21 Managing information security in the ICT supply chain,5.21,5.21,,Processes and procedures should be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.
"5.22 Monitoring, review and change management of supplier services",5.22,5.22,,"The organization should regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery."
5.23 Information security for use of cloud services,5.23,5.23,,"Processes for acquisition, use, management and exit from cloud services should be established in accordance with the organization’s information security requirements."
5.24 Information security incident management planning and preparation,5.24,5.24,,"The organization should plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities"
5.25 Assessment and decision on information security events,5.25,5.25,,The organization should assess information security events and decide if they are to be categorized as information security incidents.
5.26 Response to information security incidents,5.26,5.26,,Information security incidents should be responded to in accordance with the documented procedures.
5.27 Learning from information security incidents,5.27,5.27,,Knowledge gained from information security incidents should be used to strengthen and improve the information security controls.
5.28 Collection of evidence,5.28,5.28,,"The organization should establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events."
5.29 Information security during disruption,5.29,5.29,,The organization should plan how to maintain information security at an appropriate level during disruption.
5.30 ICT readiness for business continuity,5.30,5.30,,"ICT readiness should be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements."
"5.31 Legal, statutory, regulatory and contractual requirements",5.31,5.31,,"Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements should be identified, documented and kept up to date."
5.32 Intellectual property rights,5.32,5.32,,The organization should implement appropriate procedures to protect intellectual property rights.
5.33 Protection of records,5.33,5.33,,"Records should be protected from loss, destruction, falsification, unauthorized access and unauthorized release."
5.34 Privacy and protection of PII,5.34,5.34,,The organization should identify and meet the requirements regarding the preservation of privacy and protection of PII according to applicable laws and regulations and contractual requirements.
5.35 Independent review of information security,5.35,5.35,,"The organization’s approach to managing information security and its implementation including people, processes and technologies should be reviewed independently at planned intervals, or when significant changes occur."
"5.36 Compliance with policies, rules and standards for information security",5.36,5.36,,"Compliance with the organization’s information security policy, topic-specific policies, rules and standards should be regularly reviewed."
5.37 Documented operating procedures,5.37,5.37,,Operating procedures for information processing facilities should be documented and made available to personnel who need them.
6.1 Screening,6.1,6.1,,"Background verification checks on all candidates to become personnel should be carried out prior to joining the organization and on an ongoing basis taking into consideration applicable laws, regulations and ethics and be proportional to the business requirements, the classification of the information to be accessed and the perceived risks."
6.2 Terms and conditions of employment,6.2,6.2,,The employment contractual agreements should state the personnel’s and the organization’s responsibilities for information security.
"6.3 Information security awareness, education and training",6.3,6.3,,"Personnel of the organization and relevant interested parties should receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function."
6.4 Disciplinary process,6.4,6.4,,A disciplinary process should be formalized and communicated to take actions against personnel and other relevant interested parties who have committed an information security policy violation.
6.5 Responsibilities after termination or change of employment,6.5,6.5,,"Information security responsibilities and duties that remain valid after termination or change of employment should be defined, enforced and communicated to relevant personnel and other interested parties."
6.6 Confidentiality or non-disclosure agreements,6.6,6.6,,"Confidentiality or non-disclosure agreements reflecting the organization’s needs for the protection of information should be identified, documented, regularly reviewed and signed by personnel and other relevant interested parties."
6.7 Remote working,6.7,6.7,,"Security measures should be implemented when personnel are working remotely to protect information accessed, processed or stored outside the organization’s premises."
6.8 Information security event reporting,6.8,6.8,,The organization should provide a mechanism for personnel to report observed or suspected information security events through appropriate channels in a timely manner.
7.1 Physical security perimeters,7.1,7.1,,Security perimeters should be defined and used to protect areas that contain information and other associated assets.
7.2 Physical entry,7.2,7.2,,Secure areas should be protected by appropriate entry controls and access points.
"7.3 Securing offices, rooms and facilities",7.3,7.3,,"Physical security for offices, rooms and facilities should be designed and implemented."
7.4 Physical security monitoring,7.4,7.4,,Premises should be continuously monitored for unauthorized physical access.
7.5 Protecting against physical and environmental threats,7.5,7.5,,"Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure should be designed and implemented."
7.6 Working in secure areas,7.6,7.6,,Security measures for working in secure areas should be designed and implemented.
7.7 Clear desk and clear screen,7.7,7.7,,Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities should be defined and appropriately enforced.
7.8 Equipment siting and protection,7.8,7.8,,Equipment should be sited securely and protected.
7.9 Security of assets off-premises,7.9,7.9,,Off-site assets should be protected.
7.10 Storage media,7.10,7.10,,"Storage media should be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements."
7.11 Supporting utilities,7.11,7.11,,Information processing facilities should be protected from power failures and other disruptions caused by failures in supporting utilities.
7.12 Cabling security,7.12,7.12,,"Cables carrying power, data or supporting information services should be protected from interception, interference or damage."
7.13 Equipment maintenance,7.13,7.13,,"Equipment should be maintained correctly to ensure availability, integrity and confidentiality of information."
7.14 Secure disposal or re-use of equipment,7.14,7.14,,Items of equipment containing storage media should be verified to ensure that any sensitive data and licensed software has been removed or securely overwritten prior to disposal or re-use.
8.1 User endpoint devices,8.1,8.1,,"Information stored on, processed by or accessible via user endpoint devices should be protected."
8.2 Privileged access rights,8.2,8.2,,The allocation and use of privileged access rights should be restricted and managed.
8.3 Information access restriction,8.3,8.3,,Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.
8.4 Access to source code,8.4,8.4,,"Read and write access to source code, development tools and software libraries should be appropriately managed."
8.5 Secure authentication,8.5,8.5,,Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.
8.6 Capacity management,8.6,8.6,,The use of resources should be monitored and adjusted in line with current and expected capacity requirements.
8.7 Protection against malware,8.7,8.7,,Protection against malware should be implemented and supported by appropriate user awareness.
8.8 Management of technical vulnerabilities,8.8,8.8,,"Information about technical vulnerabilities of information systems in use should be obtained, the organization’s exposure to such vulnerabilities should be evaluated and appropriate measures should be taken."
